id	county	state	total	retire_workers	retire_wives_husbands	retire_children	survivor_widows	survivor_children	disability_workers	disability_wives_husbands	disability_children	men65plus	women65plus
1	"Alabama, total"	Alabama	738717	400245	55329	10140	115573	41706	78365	7329	30030	192610	305748
2	Autauga	Alabama	5290	2850	365	65	830	350	545	50	235	1380	2050
3	Baldwin	Alabama	20530	12620	1755	230	2660	895	1600	185	585	6300	8455
4	Barbour	Alabama	4915	2655	310	60	800	275	560	50	205	1260	2040
5	Bibb	Alabama	3295	1515	235	55	595	230	420	50	195	785	1220
6	Blount	Alabama	6760	3540	685	60	1100	295	780	80	220	1875	2740
7	Bullock	Alabama	2385	1210	155	45	390	200	245	20	120	625	970
8	Butler	Alabama	4790	2585	310	65	740	330	475	55	230	1235	1985
9	Calhoun	Alabama	21280	11650	1510	205	3250	1055	2495	220	895	5300	8955
10	Chambers	Alabama	8155	5350	305	60	945	380	790	55	270	2255	3660
11	Cherokee	Alabama	4980	2675	380	55	785	255	590	55	185	1385	1955
12	Chilton	Alabama	6250	3130	540	90	1090	370	700	80	250	1640	2495
13	Choctaw	Alabama	3285	1555	260	55	600	215	375	55	170	870	1240
14	Clarke	Alabama	5280	2590	405	130	900	455	480	60	260	1325	2055
15	Clay	Alabama	2935	1610	195	35	415	145	360	40	135	770	1200
16	Cleburne	Alabama	2575	1370	180	25	355	130	350	40	125	670	985
17	Coffee	Alabama	6930	4090	580	90	1005	330	605	50	180	1925	3015
18	Colbert	Alabama	10910	5605	1065	115	1850	485	1270	115	405	2925	4490
19	Conecuh	Alabama	3375	1745	245	45	535	215	360	60	170	855	1365
20	Coosa	Alabama	2600	1290	150	35	395	170	405	35	120	660	920
21	Covington	Alabama	8980	5420	480	100	1190	400	990	90	310	2395	3855
22	Crenshaw	Alabama	2945	1645	200	35	475	145	310	30	105	800	1265
23	Cullman	Alabama	13610	7480	1310	145	2135	620	1335	145	440	3850	5740
24	Dale	Alabama	6795	3745	520	90	1050	370	665	80	275	1840	2675
25	Dallas	Alabama	9790	5175	560	180	1465	700	1085	100	525	2335	4000
26	De Kalb	Alabama	10260	5420	830	100	1640	500	1200	110	460	2680	4210
27	Elmore	Alabama	8445	4710	565	145	1225	625	735	75	365	2235	3350
28	Escambia	Alabama	6995	3790	490	100	1135	420	700	95	265	1790	2925
29	Etowah	Alabama	22585	11645	2015	310	3965	1015	2435	270	930	5890	9565
30	Fayette	Alabama	3665	2030	270	40	570	175	410	35	135	965	1565
31	Franklin	Alabama	6275	3200	555	45	1040	250	840	80	265	1680	2515
32	Geneva	Alabama	5510	3250	420	80	810	200	525	50	175	1600	2370
33	Greene	Alabama	2040	960	155	65	345	150	215	20	130	515	790
34	Hale	Alabama	3105	1545	215	60	535	210	320	35	185	810	1210
35	Henry	Alabama	3335	1860	265	30	570	165	300	25	120	925	1450
