id	county	state	total	retire_workers	retire_wives_husbands	retire_children	survivor_widows	survivor_children	disability_workers	disability_wives_husbands	disability_children	men65plus	women65plus
1	"Alabama, total"	Alabama	708711	385524	55921	10284	113280	41408	68942	7210	26142	186110	294672
2	Autauga	Alabama	4775	2585	355	75	735	360	435	55	175	1260	1835
3	Baldwin	Alabama	18985	11545	1685	230	2530	905	1375	170	545	5720	7805
4	Barbour	Alabama	4590	2525	320	45	765	265	460	50	160	1215	1955
5	Bibb	Alabama	3135	1470	255	60	570	200	355	55	170	755	1220
6	Blount	Alabama	5635	2970	575	55	960	240	620	55	160	1565	2315
7	Bullock	Alabama	2260	1195	155	45	380	170	200	15	100	615	955
8	Butler	Alabama	4700	2535	340	85	765	295	415	55	210	1220	1985
9	Calhoun	Alabama	20785	11410	1580	230	3240	1080	2235	215	795	5235	8735
10	Chambers	Alabama	8015	5260	305	60	950	405	725	55	255	2220	3570
11	Cherokee	Alabama	3575	1930	295	30	525	195	425	40	135	1005	1380
12	Chilton	Alabama	5870	2930	555	90	1040	345	620	80	210	1560	2385
13	Choctaw	Alabama	3120	1515	250	60	555	195	330	55	160	820	1170
14	Clarke	Alabama	5295	2665	430	125	905	470	430	50	220	1390	2100
15	Clay	Alabama	2880	1560	200	45	415	160	330	45	125	770	1155
16	Cleburne	Alabama	2420	1270	180	25	350	120	315	45	115	630	925
17	Coffee	Alabama	6745	3940	585	90	1005	335	555	50	185	1885	2910
18	Colbert	Alabama	10340	5365	1070	110	1745	475	1105	110	360	2815	4235
19	Conecuh	Alabama	3010	1625	245	50	480	160	285	40	125	800	1235
20	Coosa	Alabama	2125	1135	145	25	300	140	260	25	95	580	760
21	Covington	Alabama	8675	5300	490	105	1125	415	875	95	270	2355	3735
22	Crenshaw	Alabama	3045	1765	220	40	510	175	250	20	65	860	1345
23	Cullman	Alabama	13280	7160	1375	150	2165	625	1225	165	415	3715	5610
24	Dale	Alabama	6925	3830	535	95	1070	460	600	70	265	1890	2810
25	Dallas	Alabama	9805	5300	590	185	1480	715	975	100	460	2395	4015
26	DeKalb	Alabama	10640	5610	960	100	1755	540	1135	130	410	2835	4435
27	Elmore	Alabama	8495	4825	600	155	1230	655	670	75	285	2280	3455
28	Escambia	Alabama	6845	3710	495	110	1125	410	645	90	260	1785	2830
29	Etowah	Alabama	21720	11310	2055	305	3840	1030	2110	265	805	5715	9225
30	Payette	Alabama	3490	1965	295	35	535	190	345	20	105	975	1500
31	Franklin	Alabama	6305	3180	595	45	1100	265	805	90	225	1665	2580
32	Geneva	Alabama	5335	3125	440	90	785	225	450	45	175	1535	2295
33	Greene	Alabama	2000	950	185	55	345	140	200	15	110	525	770
34	Hale	Alabama	3290	1680	280	70	575	230	280	40	135	915	1305
35	Henry	Alabama	3170	1740	265	35	540	175	255	35	125	865	1370
36	Houston	Alabama	13065	7570	950	150	1995	730	1180	110	380	3490	5585
37	Jackson	Alabama	9170	4710	785	130	1430	545	1060	150	360	2385	3525
38	Jefferson	Alabama	124965	67915	10150	2155	21690	6895	11030	1045	4085	32195	54415
39	Lamar	Alabama	3330	1925	215	25	465	165	370	25	140	900	1400
40	Lauderdale	Alabama	15485	8315	1575	135	2575	635	1545	175	530	4225	6555
41	Lawrence	Alabama	4610	2220	435	55	785	310	555	55	195	1200	1725
42	Lee	Alabama	9840	5775	525	90	1355	650	1015	65	365	2540	4125
43	Limestone	Alabama	7675	4025	705	85	1295	420	760	80	305	2025	3165
