id	county	state	total	retire_workers	retire_wives_husbands	retire_children	survivor_widows	survivor_children	disability_workers	disability_wives_husbands	disability_children	men65plus	women65plus
1	"Alabama, total"	Alabama	390866	240431	17069	2735	60503	17130	47062	1076	4860	130070	152567
2	Autauga	Alabama	2742	1675	107	15	419	148	330	8	40	913	994
3	Baldwin	Alabama	11408	7762	557	60	1502	384	1023	27	93	4380	4271
4	Barbour	Alabama	2305	1415	85	13	356	100	301	6	29	756	896
5	Bibb	Alabama	1622	865	69	13	292	88	257	7	31	492	570
6	Blount	Alabama	3475	2043	192	16	555	134	483	13	39	1197	1255
7	Bullock	Alabama	1005	603	34	8	153	67	125	2	13	334	394
8	Butler	Alabama	2201	1363	79	14	324	117	266	6	32	704	881
9	Calhoun	Alabama	10766	6586	430	49	1642	424	1465	31	139	3338	4328
10	Chambers	Alabama	4525	3256	89	15	479	158	475	6	47	1543	1941
11	Cherokee	Alabama	2475	1482	99	13	371	104	366	8	32	838	880
12	Chilton	Alabama	3192	1827	158	22	545	157	427	12	44	1063	1160
13	Choctaw	Alabama	1509	828	66	12	252	82	236	7	26	502	514
14	Clarke	Alabama	2533	1474	113	27	428	178	271	7	35	829	958
15	Clay	Alabama	1396	870	50	8	187	54	204	4	19	456	541
16	Cleburne	Alabama	1218	724	44	5	157	54	209	5	20	380	431
17	Coffee	Alabama	3475	2267	163	22	493	138	355	7	30	1215	1375
18	Colbert	Alabama	6192	3636	361	36	1069	215	787	17	71	2163	2309
19	Conecuh	Alabama	1540	913	59	10	234	77	214	8	25	484	589
20	Coosa	Alabama	1293	746	44	7	185	62	230	4	15	421	440
21	Covington	Alabama	4482	2963	135	26	564	157	576	13	48	1449	1828
22	Crenshaw	Alabama	1336	836	48	8	202	56	168	3	15	440	532
23	Cullman	Alabama	6849	4202	360	39	1037	273	836	24	78	2398	2565
24	Dale	Alabama	3236	2012	139	20	490	143	384	9	39	1104	1184
25	Dallas	Alabama	4622	2851	155	36	670	255	579	12	64	1426	1881
26	De Kalb	Alabama	4936	2926	215	25	769	208	704	16	73	1584	1864
27	Elmore	Alabama	4325	2754	165	36	623	254	429	10	54	1463	1634
28	Escambia	Alabama	3572	2181	146	24	559	171	436	14	41	1175	1377
29	Etowah	Alabama	12498	7373	657	94	2241	434	1509	41	149	4200	4979
30	Fayette	Alabama	1795	1119	71	9	256	77	239	5	19	569	714
31	Franklin	Alabama	3203	1843	160	12	524	105	501	13	45	1083	1158
32	Geneva	Alabama	2620	1705	109	18	374	77	305	7	25	930	1039
33	Greene	Alabama	858	490	37	11	140	51	111	2	16	278	325
34	Hale	Alabama	1350	790	49	11	225	78	171	4	22	441	514
35	Henry	Alabama	1587	990	74	6	259	62	174	4	18	539	644
36	Houston	Alabama	7222	4672	278	36	1044	301	800	13	78	2477	2876
37	Jackson	Alabama	4581	2672	200	26	684	199	713	23	64	1487	1616
38	Jefferson	Alabama	74445	46044	3511	653	12780	3070	7420	154	813	25101	30913
39	Lamar	Alabama	1686	1085	55	8	203	71	242	2	20	555	649
40	Lauderdale	Alabama	9080	5570	523	41	1487	285	1047	28	99	3195	3526
41	Lawrence	Alabama	2658	1425	129	14	441	144	453	11	41	818	895
